Id,Degree,Weighted Degree,pageranks,clustering,triangles,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
16,5,5,0.000085,0.3,3,0.004047,7,0.252177,0.25996,231.579261
2444,18,18,0.000265,0.052288,8,0.02709,6,0.301945,0.314989,21985.09612
5892,8,8,0.000124,0,0,0.012331,7,0.283774,0.294799,1920.894458
6315,43,43,0.000523,0.06423,58,0.067946,6,0.320686,0.336536,40183.71698
6079,11,11,0.00015,0.127273,7,0.027193,6,0.300747,0.315165,6680.519588
1752,5,5,0.000093,0.5,5,0.002675,7,0.244963,0.251951,83.708867
104,4,4,0.000067,0.166667,1,0.025303,7,0.286766,0.303521,486.072533
581,252,252,0.003564,0.005217,165,0.314772,6,0.357986,0.390267,621943.4445
7069,73,73,0.000967,0.031963,84,0.103244,6,0.32379,0.343719,71548.09511
6136,378,378,0.005124,0.003888,277,0.442345,6,0.361528,0.401043,948414.5095
18,2,2,0.000044,0,0,0.012573,7,0.269152,0.28313,135.867497
4140,91,91,0.001257,0.011477,47,0.08717,6,0.309393,0.327698,93569.66277
19,9,9,0.000138,0.277778,10,0.007549,7,0.258649,0.268822,3596.085624
485,97,97,0.001182,0.057775,269,0.123818,6,0.321148,0.342297,122270.7606
365,7,7,0.000113,0.571429,12,0.004057,7,0.252857,0.261601,373.285942
3731,43,43,0.000576,0.019934,18,0.040225,6,0.308281,0.322639,69490.80721
4967,4,4,0.000077,0,0,0.002764,7,0.248847,0.256605,443.650299
6682,10,10,0.000159,0.088889,4,0.009327,7,0.276581,0.287428,4459.076213
2819,14,14,0.0002,0.164835,15,0.011928,7,0.28006,0.291894,11463.19244
5146,26,26,0.000361,0.036923,12,0.028464,6,0.296221,0.309151,23905.36398
5358,8,8,0.000135,0.5,14,0.004272,7,0.251616,0.260372,1524.735449
3325,9,9,0.000145,0.305556,11,0.005118,7,0.260188,0.269842,1318.777903
20,7,7,0.000097,0.095238,2,0.008617,7,0.264968,0.27557,262.170035
559,15,15,0.000225,0.07619,8,0.021994,7,0.286283,0.301523,23597.65812
4482,50,50,0.000537,0.155918,191,0.08223,6,0.310512,0.330253,21589.50412
2156,6,6,0.000085,0.066667,1,0.015697,7,0.286651,0.299509,1326.436684
7054,28,28,0.000326,0.261905,99,0.049071,7,0.284397,0.301654,12331.21115
2580,32,32,0.000376,0.078629,39,0.052118,6,0.309433,0.326283,24447.62808
6299,24,24,0.000276,0.173913,48,0.063706,6,0.313518,0.3328,17246.30175
3704,6,6,0.000089,0.133333,2,0.044967,6,0.319378,0.338316,3998.921756
21,7,7,0.000103,0.142857,3,0.013257,7,0.278571,0.290151,1138.95898
745,24,24,0.000307,0.007246,2,0.032929,7,0.307125,0.319618,14670.25197
1414,113,113,0.001451,0.033028,209,0.206156,6,0.357322,0.383422,237095.7414
710,51,51,0.000596,0.160784,205,0.083472,6,0.322457,0.340356,39993.57044
4960,4,4,0.000068,0,0,0.034731,7,0.311027,0.328025,1402.500557
4700,73,73,0.000819,0.084855,223,0.116115,6,0.335405,0.354957,69260.73314
6554,6,6,0.000114,0,0,0.005554,7,0.265789,0.275765,6345.406081
1158,43,43,0.0005,0.03433,31,0.073029,6,0.319521,0.335392,26865.89765
22,2,2,0.000051,0,0,0.020545,7,0.290603,0.30704,4447.36393
4543,7,7,0.000148,0.142857,3,0.003939,7,0.250492,0.258821,10796.47809
700,29,29,0.000311,0.115764,47,0.070428,7,0.319149,0.334958,10104.97496
1016,5,5,0.000071,0.3,3,0.030609,7,0.301856,0.318319,116.683704
5052,6,6,0.000086,0.066667,1,0.010196,7,0.283098,0.293506,614.412463
211,65,65,0.000644,0.135096,281,0.143659,6,0.329632,0.34848,24994.81649
5556,27,27,0.000316,0.059829,21,0.057733,6,0.324809,0.343326,24533.65208
737,38,38,0.000397,0.165007,116,0.065399,7,0.313338,0.32864,16730.1871
4230,57,57,0.000608,0.098371,157,0.134393,7,0.344702,0.366369,61006.89015
3845,20,20,0.000214,0.226316,43,0.051377,7,0.309944,0.324983,3479.210146
5554,39,39,0.000407,0.149798,111,0.107423,7,0.336784,0.357756,24012.82286
3847,37,37,0.000404,0.123123,82,0.130671,6,0.345958,0.36655,28396.87707
5973,31,31,0.000312,0.23871,111,0.07091,6,0.310363,0.32564,4270.29799
3108,19,19,0.000207,0.093567,16,0.042099,6,0.30305,0.319174,5459.071177
2428,11,11,0.000141,0.127273,7,0.024703,7,0.296073,0.309641,4703.427012
2218,35,35,0.000407,0.122689,73,0.083296,6,0.328856,0.348842,48126.92177
1567,18,18,0.000193,0.27451,42,0.063585,6,0.320038,0.337013,5336.376527
219,30,30,0.000339,0.041379,18,0.050083,7,0.31425,0.330362,28171.23819
5069,49,49,0.00053,0.085884,101,0.103094,7,0.33032,0.348743,50161.81278
2275,38,38,0.000391,0.153627,108,0.090993,6,0.330427,0.348844,27944.97313
2557,23,23,0.00025,0.162055,41,0.042927,7,0.296172,0.311044,5850.374924
912,7,7,0.000089,0.380952,8,0.013888,7,0.275778,0.286896,193.403121
506,22,22,0.000249,0.125541,29,0.050454,7,0.310539,0.325374,10042.55879
6213,8,8,0.000107,0.071429,2,0.018928,7,0.291817,0.305019,1624.101553
5451,55,55,0.00054,0.189899,282,0.121987,6,0.325953,0.343488,21139.11301
6422,18,18,0.000207,0.052288,8,0.036512,7,0.306267,0.320275,4775.809499
5338,93,93,0.000947,0.086489,370,0.185538,6,0.345103,0.367972,118888.1413
4748,20,20,0.000272,0.052632,10,0.030304,6,0.298517,0.311913,19096.71253
3237,61,61,0.000681,0.054645,100,0.114134,6,0.328492,0.346564,49734.22688
2566,20,20,0.000233,0.252632,48,0.042267,7,0.300671,0.314128,9947.866799
1846,52,52,0.000585,0.104072,138,0.084936,6,0.323261,0.341389,47656.93232
2590,21,21,0.000238,0.104762,22,0.054246,7,0.314597,0.330572,9743.41518
3243,39,39,0.00041,0.222672,165,0.088998,6,0.316568,0.33237,16225.86532
2002,43,43,0.000448,0.126246,114,0.104239,6,0.329876,0.350772,30430.75781
3462,44,44,0.00049,0.09408,89,0.124368,7,0.343638,0.366406,60224.31056
932,83,83,0.00083,0.132236,450,0.17726,6,0.336832,0.3572,54957.43062
30,37,37,0.000389,0.174174,116,0.083171,6,0.320052,0.336218,28778.35622
6750,62,62,0.000697,0.032787,62,0.085484,6,0.322617,0.340327,67050.85042
877,103,103,0.001122,0.070626,371,0.207391,6,0.359976,0.385612,184053.2936
3052,26,26,0.000266,0.310769,101,0.05923,6,0.306452,0.320784,6195.13622
3138,20,20,0.000247,0.015789,3,0.024598,7,0.302188,0.314801,10401.25918
5530,30,30,0.000345,0.124138,54,0.096823,6,0.338512,0.359881,27708.63059
6459,39,39,0.000406,0.149798,111,0.077242,7,0.317896,0.333908,19734.38414
2166,26,26,0.000297,0.070769,23,0.043399,7,0.310376,0.325505,18330.48454
748,28,28,0.000337,0.097884,37,0.106378,6,0.338303,0.35986,37803.07768
6941,41,41,0.00041,0.215854,177,0.09411,6,0.31892,0.335277,11816.60552
3621,25,25,0.000273,0.1,30,0.089716,7,0.33599,0.356507,18722.15478
2529,90,90,0.000946,0.062672,251,0.161934,6,0.342449,0.363785,130255.4422
7119,15,15,0.000179,0.104762,11,0.051455,7,0.317825,0.334483,10531.47552
2345,167,167,0.001703,0.061828,857,0.351894,6,0.374961,0.404599,378250.2693
3997,16,16,0.000187,0.133333,16,0.034564,7,0.305453,0.322514,7211.207316
4161,15,15,0.000184,0.104762,11,0.054141,6,0.324011,0.343081,12369.90323
1175,46,46,0.000484,0.129469,134,0.112742,6,0.328523,0.346671,35123.34022
24,122,122,0.001448,0.0504,372,0.262887,6,0.356767,0.381818,194621.411
208,22,22,0.000264,0.082251,19,0.094224,6,0.343622,0.365687,29630.72493
2625,3,3,0.000062,0.333333,1,0.007578,7,0.271542,0.281621,748.770805
100,16,16,0.000206,0,0,0.041101,7,0.313642,0.33009,13225.40347
2609,8,8,0.000112,0.214286,6,0.01614,7,0.288906,0.300688,952.094435
3278,37,37,0.000381,0.21021,140,0.086275,7,0.315238,0.332804,14608.53719
3495,11,11,0.000146,0.272727,15,0.07348,7,0.336418,0.356172,6147.267025
3166,11,11,0.00014,0.072727,4,0.055565,7,0.321482,0.33962,4216.087594
453,2,2,0.00004,1,1,0.010765,7,0.276678,0.287221,0
1961,33,33,0.000382,0.106061,56,0.083127,7,0.32667,0.344109,26881.8407
5337,27,27,0.000321,0.022792,8,0.040811,7,0.312185,0.327268,21742.23701
3285,183,183,0.002405,0.022218,370,0.309828,6,0.368027,0.399235,330862.9898
446,6,6,0.000108,0,0,0.011509,7,0.284102,0.295384,8285.193896
3617,1,1,0.000031,0,0,0.00547,7,0.262964,0.271922,0
938,23,23,0.000259,0.233202,59,0.113332,6,0.34086,0.361382,15292.42981
1836,16,16,0.000213,0.133333,16,0.084203,7,0.335594,0.356656,14035.58013
3589,5,5,0.000111,0.1,1,0.007896,7,0.271718,0.281765,5313.467629
345,10,10,0.00013,0.2,9,0.033565,6,0.305022,0.320505,5681.523616
5396,28,28,0.000334,0.092593,35,0.144094,6,0.358094,0.382582,43546.87195
5073,13,13,0.000155,0.115385,9,0.049916,7,0.312103,0.328755,3419.999043
1625,5,5,0.000073,0.1,1,0.01394,7,0.279051,0.290672,255.244055
3290,32,32,0.00039,0.03629,18,0.078673,7,0.333146,0.353852,46057.53236
6808,75,75,0.000826,0.058018,161,0.161623,6,0.339528,0.360398,77807.7566
2740,193,193,0.002353,0.028605,530,0.369939,6,0.374448,0.405658,378693.2365
1948,8,8,0.000117,0.142857,4,0.033521,7,0.301281,0.316827,10111.63186
56,14,14,0.000171,0.120879,11,0.058751,7,0.321264,0.338242,7922.443853
1576,14,14,0.000166,0.098901,9,0.026934,7,0.290757,0.304419,3346.745237
2761,2,2,0.000043,0,0,0.006104,7,0.264212,0.27345,74.90798
5100,50,50,0.000535,0.114286,140,0.148574,6,0.346294,0.367827,50631.51109
5693,21,21,0.000227,0.195238,41,0.050767,6,0.309608,0.32432,3701.795318
788,18,18,0.000218,0.071895,11,0.033987,7,0.303191,0.316308,8187.295526
6357,98,98,0.001158,0.040396,192,0.208323,6,0.352461,0.375853,150773.4995
26,91,91,0.000984,0.073748,302,0.23196,6,0.359286,0.384126,111400.5124
4191,74,74,0.000873,0.051833,140,0.157507,6,0.343887,0.366241,58833.16393
2853,6,6,0.00009,0.266667,4,0.038761,6,0.307642,0.324608,1927.209296
4098,24,24,0.000285,0.123188,34,0.10886,6,0.342038,0.362952,19943.7523
5093,3,3,0.000054,0,0,0.009742,7,0.273334,0.283931,436.51968
5758,9,9,0.000122,0.194444,7,0.035259,7,0.307311,0.322606,2648.055267
4681,41,41,0.000481,0.106098,87,0.154659,6,0.360686,0.385067,62453.32102
5969,108,108,0.001244,0.057113,330,0.265498,6,0.366475,0.392503,234361.8154
372,93,93,0.001022,0.065685,281,0.234477,6,0.366701,0.392931,156207.2075
2403,34,34,0.000363,0.219251,123,0.113843,7,0.328705,0.348118,14517.19597
2186,65,65,0.000744,0.044712,93,0.156416,6,0.35288,0.37688,121117.9497
2062,8,8,0.000114,0.071429,2,0.040243,7,0.313697,0.332406,4494.894081
4866,5,5,0.000075,0.2,2,0.01994,7,0.28907,0.302459,775.152056
1438,2,2,0.000042,0,0,0.007864,7,0.271957,0.281939,49.192909
3320,64,64,0.000713,0.068452,138,0.158858,6,0.344869,0.367373,63712.9098
4673,5,5,0.00007,0.2,2,0.018641,7,0.289587,0.302509,781.534412
778,13,13,0.000155,0.217949,17,0.042755,7,0.310566,0.326026,2974.725122
6812,40,40,0.000429,0.170513,133,0.13267,6,0.341776,0.361544,21618.09501
2332,16,16,0.000211,0.141667,17,0.042166,6,0.313173,0.330823,14444.10741
3991,50,50,0.000538,0.121633,149,0.154653,6,0.345857,0.367181,45633.4519
5644,1,1,0.000031,0,0,0.00547,7,0.262964,0.271922,0
5899,12,12,0.000158,0.075758,5,0.028396,7,0.296714,0.310661,7065.815858
4876,15,15,0.000191,0.104762,11,0.098523,6,0.349865,0.372519,22824.0977
1869,112,112,0.001285,0.042954,267,0.250106,6,0.367041,0.393897,223740.8033
3999,7,7,0.000102,0.285714,6,0.018735,7,0.283876,0.295816,3322.412336
5163,4,4,0.000071,0.333333,2,0.013559,7,0.273986,0.285223,593.188842
4444,91,91,0.001115,0.04884,200,0.162843,6,0.348326,0.372641,175775.9299
2314,18,18,0.000271,0.039216,6,0.03365,7,0.305244,0.320331,20976.11879
2419,15,15,0.000204,0.057143,6,0.026176,7,0.298429,0.311403,9310.161717
4239,5,5,0.000077,0.1,1,0.027834,7,0.298955,0.31627,1729.337673
1877,15,15,0.000182,0.057143,6,0.038376,7,0.307882,0.323134,7630.683229
792,146,146,0.001598,0.057723,611,0.362019,6,0.383642,0.412779,319276.7258
6950,1,1,0.000031,0,0,0.00547,7,0.262964,0.271922,0
5792,12,12,0.000163,0.075758,5,0.040614,7,0.312719,0.329807,8091.441741
6482,35,35,0.000418,0.084034,50,0.100057,6,0.335278,0.355535,50517.34535
795,13,13,0.000165,0.141026,11,0.053261,7,0.317584,0.336453,4910.910193
5906,13,13,0.000177,0.089744,7,0.02627,7,0.301345,0.31395,9746.283532
6150,32,32,0.000325,0.169355,84,0.063237,7,0.309998,0.326799,7660.40005
2887,134,134,0.00151,0.041073,366,0.251395,6,0.356928,0.382718,265042.0287
2426,29,29,0.000336,0.197044,80,0.128091,6,0.343556,0.364613,28071.12673
4129,8,8,0.000108,0.071429,2,0.046596,7,0.320628,0.33846,4796.742653
1240,10,10,0.000142,0.088889,4,0.018664,7,0.28694,0.299792,6429.494336
5446,30,30,0.000349,0.050575,22,0.074344,7,0.333068,0.352874,32316.67629
5447,5,5,0.000074,0.3,3,0.047018,7,0.316582,0.334539,565.50083
6260,9,9,0.000128,0.083333,3,0.017051,7,0.291125,0.303218,5460.773694
2393,9,9,0.000115,0.166667,6,0.032149,7,0.303825,0.317377,1981.833332
165,13,13,0.000181,0.012821,1,0.021789,6,0.293476,0.306545,4739.04392
1600,17,17,0.000226,0.095588,13,0.075561,6,0.333552,0.354725,22489.05145
1280,5,5,0.000073,0.1,1,0.018075,7,0.291865,0.303818,404.832203
2506,19,19,0.000232,0.099415,17,0.035142,7,0.303708,0.318109,7318.727501
5787,24,24,0.000279,0.039855,11,0.048819,6,0.318635,0.335214,18167.77502
3484,8,8,0.000107,0.035714,1,0.020211,7,0.284738,0.298164,2390.845026
807,62,62,0.000687,0.077208,146,0.182448,6,0.361052,0.385469,87310.51624
5569,100,100,0.001009,0.093535,463,0.212143,6,0.340144,0.362061,80110.50363
3691,56,56,0.000614,0.100649,155,0.112616,6,0.329739,0.349368,46868.05758
4076,101,101,0.001235,0.014059,71,0.147423,6,0.337134,0.357668,137794.6285
1998,1,1,0.000031,0,0,0.00547,7,0.262964,0.271922,0
4914,6,6,0.000108,0.2,3,0.008956,7,0.270563,0.280937,7441.795064
2447,272,272,0.003247,0.019264,710,0.487303,6,0.391118,0.425778,842697.8383
1032,3,3,0.000061,0,0,0.006946,7,0.273355,0.283338,176.792531
7021,34,34,0.000355,0.131907,74,0.07147,7,0.309648,0.326207,8577.95475
5802,82,82,0.000936,0.064137,213,0.190846,6,0.351539,0.374447,115985.6164
4582,13,13,0.000167,0.192308,15,0.053186,7,0.317217,0.335952,8427.685142
6978,1,1,0.000031,0,0,0.00547,7,0.262964,0.271922,0
5555,37,37,0.000435,0.051051,34,0.086065,6,0.323893,0.343029,28482.58603
5489,15,15,0.000181,0.066667,7,0.054594,7,0.322515,0.340876,10493.55892
2458,8,8,0.000109,0.285714,8,0.064096,6,0.323584,0.343913,2397.041003
5416,3,3,0.000053,0.666667,2,0.011321,7,0.278222,0.289081,34.097147
2011,14,14,0.000199,0.098901,9,0.044757,7,0.308415,0.325562,19044.82313
4796,8,8,0.000107,0.071429,2,0.039757,7,0.312665,0.329643,4662.230292
6783,14,14,0.000183,0.087912,8,0.043446,7,0.31239,0.328593,12521.36117
6588,17,17,0.000217,0.102941,14,0.036301,7,0.304996,0.319239,5843.654417
4597,39,39,0.000439,0.107962,80,0.134963,7,0.346159,0.368057,42840.72358
2845,106,106,0.001133,0.071878,400,0.256294,6,0.364935,0.390517,158860.8667
1812,90,90,0.000919,0.093383,374,0.233714,6,0.35577,0.380054,77626.27765
2924,28,28,0.000314,0.121693,46,0.122877,6,0.348513,0.37193,29037.42995
3253,8,8,0.000106,0.071429,2,0.019429,7,0.293331,0.305845,1287.426138
6404,35,35,0.00042,0.085714,51,0.112494,6,0.342071,0.363649,39049.99882
6202,21,21,0.000265,0.085714,18,0.038846,7,0.305048,0.318345,12362.70299
1396,9,9,0.000118,0.277778,10,0.0167,7,0.282201,0.293786,467.809188
6138,16,16,0.000194,0.208333,25,0.067585,6,0.325863,0.344833,5353.169776
