days,mature,views,partner,id
1899,FALSE,1458,FALSE,593
224,TRUE,1178,FALSE,2456
993,FALSE,1572,FALSE,6911
2139,TRUE,10500,FALSE,3362
310,TRUE,1975,FALSE,7101
1168,TRUE,6442,FALSE,7060
2406,FALSE,6599,FALSE,6080
489,TRUE,9063,FALSE,5771
806,FALSE,21768,FALSE,5914
1431,TRUE,16987,FALSE,6794
1892,TRUE,447,FALSE,3361
2469,TRUE,899,FALSE,3260
1754,TRUE,7496,FALSE,936
466,FALSE,4223,FALSE,3837
2439,TRUE,1345,FALSE,2233
2091,FALSE,127832,FALSE,4568
2302,TRUE,494,FALSE,3468
2025,FALSE,22502,FALSE,5540
1751,TRUE,599,FALSE,6304
828,TRUE,449,FALSE,3284
3735,FALSE,8278,FALSE,1376
1774,TRUE,56645,FALSE,4702
1160,TRUE,1837,FALSE,6480
1003,TRUE,10975,FALSE,5021
1912,TRUE,40349,FALSE,6756
1057,TRUE,25515,FALSE,2533
768,TRUE,3105,FALSE,6062
2578,FALSE,1509,FALSE,5956
1717,TRUE,311606,TRUE,5768
663,TRUE,9416,FALSE,1636
1246,TRUE,8299,FALSE,1524
737,TRUE,704,FALSE,1385
2591,TRUE,3306,FALSE,119
1338,TRUE,6897,FALSE,3213
2555,TRUE,10240,FALSE,4487
2327,FALSE,17408,FALSE,839
2037,TRUE,22721,FALSE,6165
2007,FALSE,4732,FALSE,1150
1096,TRUE,15826,FALSE,701
1638,FALSE,6493,FALSE,1794
654,TRUE,379,FALSE,3998
564,FALSE,178,FALSE,4923
1339,TRUE,10528,FALSE,542
1688,FALSE,3677,FALSE,7074
2004,TRUE,36040,FALSE,4315
1861,TRUE,110677,FALSE,1481
1562,FALSE,12084,FALSE,5915
744,TRUE,17101,FALSE,948
1436,FALSE,8645,FALSE,799
1226,TRUE,10316,FALSE,6513
1973,TRUE,57649,FALSE,413
2310,TRUE,886,FALSE,3811
2489,FALSE,104481,FALSE,7055
1749,TRUE,1950,FALSE,1923
1634,TRUE,3904,FALSE,5383
1688,TRUE,2054,FALSE,1920
322,FALSE,2157,FALSE,3555
1999,FALSE,4014190,FALSE,6861
739,TRUE,438,FALSE,1893
2040,TRUE,82304,FALSE,5490
823,FALSE,2187,FALSE,3977
612,TRUE,1227,FALSE,2265
2088,TRUE,17570,FALSE,661
752,TRUE,8453,FALSE,4449
1398,FALSE,61009,FALSE,5038
414,FALSE,107,FALSE,6720
1398,TRUE,1079,FALSE,3714
1858,FALSE,1094,FALSE,260
1240,FALSE,1400701,TRUE,4330
1918,FALSE,8041,FALSE,3957
499,TRUE,153891,FALSE,1664
2073,FALSE,3090544,TRUE,3209
2222,TRUE,7036,FALSE,5888
1655,TRUE,880,FALSE,2453
1770,FALSE,11545,FALSE,5720
1539,FALSE,2279,FALSE,38
2023,FALSE,18299,FALSE,5594
1323,TRUE,841,FALSE,4460
1931,TRUE,2477,FALSE,4958
218,TRUE,800,FALSE,77
954,TRUE,13295,FALSE,6752
1371,TRUE,996,FALSE,6945
1449,TRUE,1480,FALSE,3678
807,TRUE,6958,FALSE,875
2929,TRUE,30319,FALSE,3551
918,FALSE,3694,FALSE,4273
1096,FALSE,562,FALSE,6220
669,TRUE,584,FALSE,4999
322,TRUE,1810,FALSE,4537
2275,TRUE,33500,FALSE,465
2304,TRUE,4364,FALSE,4971
610,TRUE,985,FALSE,6276
1143,TRUE,19916,FALSE,2540
365,TRUE,186,FALSE,2412
1054,FALSE,1012,FALSE,1596
1174,FALSE,4462,FALSE,1766
2743,FALSE,676893,TRUE,6077
1706,TRUE,1361,FALSE,2433
3111,FALSE,6075,FALSE,1206
578,TRUE,695,FALSE,1922
269,TRUE,1801,FALSE,2933
244,TRUE,2983,FALSE,6007
2038,TRUE,39809,FALSE,4230
2068,TRUE,4848,FALSE,6556
1878,TRUE,14873,FALSE,2675
2338,FALSE,804,FALSE,2203
2279,TRUE,7125,FALSE,5471
2113,FALSE,1302,FALSE,3593
367,FALSE,555,FALSE,1019
3720,FALSE,13545,FALSE,257
1647,TRUE,2046,FALSE,366
2634,TRUE,1852325,TRUE,1063
1002,TRUE,2165,FALSE,5924
1142,FALSE,11398,FALSE,27
2588,FALSE,9279,FALSE,6240
2379,TRUE,4896,FALSE,7022
324,TRUE,1678,FALSE,0
2328,TRUE,581,FALSE,2603
1048,TRUE,13065,FALSE,2993
2421,FALSE,1199,FALSE,5522
2005,FALSE,1608,FALSE,2309
1974,TRUE,622,FALSE,4815
2000,FALSE,706,FALSE,36
1554,FALSE,3076,FALSE,5984
1707,TRUE,3648,FALSE,1037
1935,FALSE,140,FALSE,2915
1669,TRUE,4888,FALSE,1122
1966,FALSE,104909,TRUE,2435
2930,TRUE,4481,FALSE,2990
2618,TRUE,1815,FALSE,6859
2306,TRUE,11904,FALSE,1590
552,FALSE,41082,FALSE,422
2137,FALSE,2201,FALSE,4000
1795,TRUE,52780,FALSE,1603
703,FALSE,1463,FALSE,5767
1147,TRUE,3461,FALSE,911
634,FALSE,431,FALSE,3316
1116,FALSE,322,FALSE,2747
1644,FALSE,7997,FALSE,2361
1497,TRUE,22413,FALSE,2599
2070,FALSE,4290,FALSE,1048
2104,TRUE,2115,FALSE,4710
1524,FALSE,4380,FALSE,6937
836,FALSE,4073,FALSE,1247
1297,TRUE,165,FALSE,1817
1612,TRUE,26426,FALSE,5815
2122,FALSE,2190,FALSE,172
3029,FALSE,2391,FALSE,6332
2445,TRUE,1680,FALSE,7015
151,TRUE,620,FALSE,6325
1197,TRUE,2171,FALSE,6843
2322,TRUE,12175,FALSE,393
897,TRUE,698,FALSE,222
2052,FALSE,2682,FALSE,4817
2132,TRUE,1622,FALSE,4055
1815,FALSE,1429,FALSE,3026
1668,TRUE,54943,FALSE,3968
1382,FALSE,15573,FALSE,3412
2344,FALSE,662,FALSE,3446
2074,FALSE,4011,FALSE,2693
1647,TRUE,2342,FALSE,4473
2393,TRUE,8989,FALSE,579
2166,FALSE,758,FALSE,225
1523,FALSE,8186,FALSE,3409
2060,TRUE,2388,FALSE,4190
2408,TRUE,3645,FALSE,437
1336,TRUE,40048,FALSE,6479
754,TRUE,73881,FALSE,1846
1445,TRUE,32935,FALSE,6989
1044,TRUE,4798,FALSE,6086
2606,TRUE,44010,FALSE,1900
2238,TRUE,5361,FALSE,5884
477,TRUE,2854,FALSE,6296
2108,FALSE,10697,FALSE,6009
1420,TRUE,9300,FALSE,956
1170,FALSE,4482,FALSE,234
1581,FALSE,313,FALSE,4904
2122,TRUE,94519,FALSE,5703
739,FALSE,2377,FALSE,6830
1378,TRUE,1160,FALSE,6710
266,TRUE,2982,FALSE,2149
534,TRUE,1106,FALSE,4564
1224,FALSE,226172,TRUE,5991
1250,FALSE,913,FALSE,2018
2258,TRUE,1136,FALSE,1875
1847,TRUE,3703,FALSE,6460
1183,TRUE,1679,FALSE,6785
1559,FALSE,417,FALSE,2491
1502,TRUE,982,FALSE,6966
1603,TRUE,6335,FALSE,487
1844,TRUE,24599,FALSE,3021
418,TRUE,299,FALSE,6350
614,FALSE,3706,FALSE,4337
209,FALSE,2639,FALSE,4429
1123,TRUE,4480,FALSE,4819
2342,TRUE,10960,FALSE,6635
1380,FALSE,139157,FALSE,6270
1207,TRUE,670,FALSE,2266
2421,TRUE,3072,FALSE,1898
2481,TRUE,83280,FALSE,5500
1592,FALSE,1115,FALSE,2383
2465,TRUE,39047,FALSE,6263
988,FALSE,915,FALSE,2752
1723,FALSE,2272,FALSE,4767
3665,TRUE,20332,FALSE,5242
436,FALSE,4498,FALSE,1799
497,TRUE,37500,TRUE,5965
730,TRUE,3510,FALSE,1325
2843,TRUE,118412,TRUE,2700
487,TRUE,23605,FALSE,2144
847,TRUE,15231,FALSE,48
2112,TRUE,1722,FALSE,4616
3382,FALSE,4193445,TRUE,6467
1745,TRUE,5377,FALSE,787
2478,FALSE,13481914,TRUE,2740
1993,TRUE,1859,FALSE,5876
2066,FALSE,4976,FALSE,5355
612,TRUE,27237,FALSE,6783
889,TRUE,2171,FALSE,5966
1229,TRUE,17801,FALSE,6730
1697,TRUE,11174,FALSE,538
495,FALSE,2197,FALSE,2519
2267,TRUE,3422,FALSE,4747
1343,TRUE,97987,FALSE,4895
1935,TRUE,6945,FALSE,6863
1494,TRUE,234674,TRUE,5721
702,FALSE,1351,FALSE,3947
1531,TRUE,6758,FALSE,5100
1986,FALSE,27477,FALSE,5109
1450,FALSE,1857,FALSE,2235
2130,FALSE,1519,FALSE,6595
1956,FALSE,28680584,TRUE,4406
823,FALSE,3390,FALSE,5472
654,TRUE,4925,FALSE,3483
2008,FALSE,48450,FALSE,4695
977,TRUE,4925,FALSE,4520
1165,FALSE,4717,FALSE,1680
1434,TRUE,265,FALSE,2322
1144,FALSE,19293,FALSE,6107
1345,TRUE,5064,FALSE,2046
898,TRUE,19965,FALSE,3893
1956,TRUE,459,FALSE,2188
1519,FALSE,2827,FALSE,1203
808,TRUE,77165,FALSE,4439
2706,FALSE,2878382,TRUE,1483
494,FALSE,601,FALSE,3466
1239,FALSE,183636,FALSE,2036
2331,FALSE,7189,FALSE,6865
2447,TRUE,596415,TRUE,4329
1438,FALSE,20486,FALSE,5327
868,TRUE,43538,FALSE,5103
1955,TRUE,2092,FALSE,3252
681,TRUE,2123,FALSE,4446
286,TRUE,18208,FALSE,6312
650,TRUE,563,FALSE,2028
1516,FALSE,798,FALSE,157
1492,FALSE,1152,FALSE,1092
1921,TRUE,5979,FALSE,6591
2157,FALSE,33670,FALSE,187
1692,FALSE,44824,FALSE,449
474,TRUE,12299,FALSE,5136
2821,FALSE,10210,FALSE,294
2527,FALSE,69231,FALSE,127
512,FALSE,7364,FALSE,5656
1732,TRUE,1615,FALSE,292
2191,FALSE,4399,FALSE,4525
1169,TRUE,22708,FALSE,1532
1006,FALSE,1503,FALSE,5989
1582,FALSE,1464,FALSE,4075
1321,TRUE,30411,FALSE,3485
850,TRUE,5030,FALSE,3417
2398,TRUE,4291,FALSE,588
1267,FALSE,8160,FALSE,3672
597,TRUE,8765,FALSE,6504
1414,FALSE,2800,FALSE,3014
850,TRUE,10058,FALSE,4342
1748,FALSE,9461,FALSE,6343
2058,TRUE,70198,FALSE,5665
1884,FALSE,10664,FALSE,2232
2319,FALSE,15614,FALSE,2762
3113,TRUE,11779,FALSE,3123
529,FALSE,3965,FALSE,1315
1762,FALSE,854,FALSE,6473
1515,TRUE,8311,FALSE,6199
911,TRUE,717,FALSE,4733
1550,TRUE,507,FALSE,5218
545,TRUE,3262,FALSE,1796
965,FALSE,1171,FALSE,3388
1258,TRUE,3341,FALSE,2472
1801,FALSE,4725,FALSE,6844
1814,TRUE,304123,FALSE,3596
865,FALSE,29102,FALSE,4963
819,FALSE,381,FALSE,4119
1950,TRUE,22651,FALSE,290
907,TRUE,1594,FALSE,2751
1962,FALSE,899,FALSE,5105
1010,TRUE,356,FALSE,3994
721,FALSE,260098,TRUE,672
1931,TRUE,2082,FALSE,3088
3009,FALSE,7063,FALSE,1592
1753,FALSE,31448,FALSE,5473
217,TRUE,899,FALSE,5925
1639,TRUE,9352,FALSE,1936
1811,FALSE,11590,FALSE,5905
2789,FALSE,793,FALSE,2174
1514,FALSE,50783,FALSE,3500
1339,FALSE,337,FALSE,659
1612,TRUE,1577,FALSE,5285
1210,FALSE,1319,FALSE,1177
744,TRUE,3137,FALSE,1038
3374,FALSE,1027237,TRUE,237
1332,FALSE,812,FALSE,266
783,TRUE,56605,FALSE,5687
2747,FALSE,14914146,TRUE,2481
1777,TRUE,10226,FALSE,6944
396,FALSE,5551,FALSE,4881
1442,FALSE,271830,TRUE,1706
1829,FALSE,122,FALSE,1377
2348,TRUE,1442,FALSE,6805
2338,TRUE,8078,FALSE,2895
2070,TRUE,12826,FALSE,928
2021,TRUE,1247,FALSE,3546
2245,FALSE,2732,FALSE,5528
1041,FALSE,870,FALSE,531
1136,FALSE,21877,FALSE,13
1723,TRUE,12231,FALSE,4376
527,FALSE,28064,FALSE,6135
2547,FALSE,67255,FALSE,5412
1287,FALSE,3824,FALSE,258
1269,FALSE,8954,FALSE,572
2631,TRUE,19766,FALSE,2387
743,TRUE,815,FALSE,2178
1767,TRUE,7139,FALSE,1237
1518,FALSE,543,FALSE,2841
1709,FALSE,3447,FALSE,564
1995,TRUE,2162,FALSE,4485
1628,FALSE,401,FALSE,442
2528,FALSE,859702,TRUE,4482
1750,TRUE,15787,FALSE,1759
1715,FALSE,75542,FALSE,6019
2162,TRUE,999,FALSE,6957
952,FALSE,318,FALSE,5762
454,FALSE,5866,FALSE,6106
2368,TRUE,251536,FALSE,4334
1666,FALSE,1274,FALSE,5625
2077,TRUE,2727,FALSE,6446
1685,TRUE,31952,FALSE,451
1745,TRUE,397,FALSE,4851
923,TRUE,27482,FALSE,526
2162,TRUE,160579,TRUE,401
2552,TRUE,127625,FALSE,1060
1765,FALSE,15111,FALSE,6991
1355,FALSE,929599,TRUE,3867
1985,FALSE,4204,FALSE,2613
530,TRUE,11009,FALSE,6087
1297,TRUE,3308,FALSE,3442
2543,FALSE,869,FALSE,6228
2025,TRUE,4571,FALSE,1950
1875,FALSE,550,FALSE,3291
626,TRUE,16833,FALSE,2641
1033,TRUE,6457,FALSE,533
1800,TRUE,7631,FALSE,5895
574,FALSE,4560,FALSE,2644
1764,TRUE,948,FALSE,3186
596,TRUE,2489,FALSE,5544
1390,TRUE,51847,FALSE,932
749,TRUE,148,FALSE,5494
1284,FALSE,11841,FALSE,2193
1973,TRUE,6644,FALSE,4571
1733,TRUE,882,FALSE,3076
2681,TRUE,792374,TRUE,3692
956,FALSE,208894,TRUE,4080
1992,FALSE,10687,FALSE,3621
2206,TRUE,19381506,TRUE,5389
2381,TRUE,5500,FALSE,3504
1135,TRUE,13286,FALSE,5086
579,FALSE,1884,FALSE,3232
749,FALSE,3894,FALSE,3559
2265,TRUE,7339,FALSE,4532
1828,FALSE,3804,FALSE,2194
1945,TRUE,2093,FALSE,6097
425,FALSE,4302,FALSE,1945
1192,FALSE,285,FALSE,977
830,TRUE,1234,FALSE,6781
1476,TRUE,2644,FALSE,883
1590,TRUE,7750,FALSE,853
1774,TRUE,36032,FALSE,523
1349,FALSE,14185,FALSE,3700
1633,FALSE,12112,FALSE,3360
1819,TRUE,3718,FALSE,2786
1771,FALSE,506,FALSE,1204
996,TRUE,11734,FALSE,5233
518,FALSE,4977,FALSE,486
1775,TRUE,5598,FALSE,4262
2907,TRUE,13590,FALSE,5252
2259,FALSE,36433,FALSE,1281
378,TRUE,9186,FALSE,4838
1755,TRUE,5265,FALSE,3916
1579,FALSE,187,FALSE,6888
1615,TRUE,5321,FALSE,3624
1652,TRUE,18841,FALSE,6119
564,FALSE,4530,FALSE,4355
628,FALSE,4325,FALSE,851
1727,TRUE,7970,FALSE,128
1787,TRUE,1344672,TRUE,5170
910,TRUE,15695,FALSE,1005
452,TRUE,42165,FALSE,955
2911,TRUE,4133,FALSE,1672
1573,FALSE,290,FALSE,2274
2223,FALSE,3873,FALSE,1608
1001,FALSE,2908,FALSE,2462
1783,TRUE,2465,FALSE,6695
914,TRUE,984,FALSE,5753
3420,TRUE,16621,FALSE,5516
463,TRUE,3239,FALSE,4126
2068,TRUE,7698,FALSE,1986
2023,TRUE,6918,FALSE,6969
2051,FALSE,1598,FALSE,3951
2784,FALSE,8564,FALSE,6993
255,TRUE,2341,FALSE,247
1328,FALSE,273614,TRUE,2323
1396,FALSE,2183,FALSE,2549
1774,TRUE,2985,FALSE,6619
2328,TRUE,1833,FALSE,1642
482,TRUE,2411,FALSE,649
1968,FALSE,51667,FALSE,2148
1440,TRUE,1918285,TRUE,5354
2594,FALSE,6948,FALSE,4378
1580,TRUE,22775,FALSE,2114
2313,TRUE,56042,FALSE,1221
1720,TRUE,34356,FALSE,6443
1566,TRUE,15772,FALSE,3009
1103,FALSE,884,FALSE,5188
859,TRUE,3692,FALSE,2227
2330,FALSE,462,FALSE,1223
1891,FALSE,24442,FALSE,914
2326,FALSE,7846,FALSE,2725
1218,TRUE,9581,FALSE,3239
1907,TRUE,5079,FALSE,3058
2137,TRUE,4077,FALSE,992
1797,TRUE,7187,FALSE,5241
2242,FALSE,1570,FALSE,5916
1804,FALSE,516588,TRUE,4029
1616,FALSE,617,FALSE,3626
989,TRUE,9977,FALSE,663
1971,FALSE,1832724,TRUE,5098
487,FALSE,745,FALSE,4734
946,TRUE,3049,FALSE,4554
1158,TRUE,2902,FALSE,3914
449,FALSE,221,FALSE,4226
2199,FALSE,581087,TRUE,4528
1755,TRUE,24833,FALSE,3650
1875,FALSE,18097,FALSE,3221
1345,FALSE,4369,FALSE,140
411,FALSE,342,FALSE,3613
2142,FALSE,24841,FALSE,3210
1973,TRUE,13495,FALSE,5409
563,TRUE,6919,FALSE,6629
403,FALSE,5449,FALSE,2297
715,FALSE,3948,FALSE,5653
1385,TRUE,41943,FALSE,75
289,TRUE,1690,FALSE,6992
2758,TRUE,7612,FALSE,1422
3409,TRUE,11427,FALSE,759
1043,TRUE,2624,FALSE,1404
663,FALSE,1364,FALSE,6472
1298,TRUE,4280,FALSE,6856
1701,TRUE,1394,FALSE,265
1954,FALSE,2180,FALSE,3519
2205,FALSE,23702,FALSE,414
1862,TRUE,6586,FALSE,6593
2598,TRUE,27878,FALSE,3586
1523,TRUE,717298,TRUE,4196
2064,TRUE,11473,FALSE,2344
618,TRUE,4399,FALSE,6915
2335,FALSE,236013,TRUE,1528
2086,TRUE,15275,FALSE,4455
1710,FALSE,20526,FALSE,2200
1703,FALSE,5477528,TRUE,3136
1068,FALSE,825,FALSE,2434
966,FALSE,2391,FALSE,1182
234,FALSE,538,FALSE,6248
2475,FALSE,1651,FALSE,478
1449,TRUE,1448,FALSE,975
1713,TRUE,4137,FALSE,784
224,TRUE,5032,FALSE,783
2182,TRUE,8997,FALSE,5305
2051,TRUE,1156712,TRUE,2212
1433,FALSE,15842,FALSE,3759
2081,TRUE,1182363,TRUE,2381
430,TRUE,2623,FALSE,2836
1850,FALSE,2670,FALSE,1862
4044,TRUE,295,FALSE,2256
711,FALSE,51843,FALSE,6205
2626,FALSE,6025,FALSE,4430
1496,FALSE,457,FALSE,3791
1506,TRUE,5633,FALSE,1112
1893,FALSE,4034,FALSE,4359
1394,FALSE,2934,FALSE,2698
1023,TRUE,11597,FALSE,2150
1532,FALSE,643122,TRUE,3097
223,FALSE,1637,FALSE,6430
2063,TRUE,5897,FALSE,4519
1880,FALSE,210677,TRUE,1809
1986,FALSE,2273,FALSE,3081
2168,TRUE,4087,FALSE,5563
1547,TRUE,13283,FALSE,4868
2059,FALSE,3662,FALSE,3041
2061,FALSE,229,FALSE,2917
534,TRUE,7685,FALSE,4067
701,TRUE,104162,FALSE,6947
2170,TRUE,1732,FALSE,4275
1496,TRUE,5637,FALSE,3913
1219,TRUE,13538,FALSE,267
2187,FALSE,1381,FALSE,3528
1166,FALSE,358,FALSE,1908
1623,FALSE,5927,FALSE,3976
429,FALSE,15801,FALSE,4663
2651,TRUE,1637,FALSE,2660
1222,TRUE,10747,FALSE,1966
1672,TRUE,14831,FALSE,2819
1764,FALSE,10756,FALSE,6881
1544,FALSE,1179,FALSE,5140
1816,FALSE,19200,FALSE,4383
1431,TRUE,439,FALSE,2530
1397,TRUE,2488519,TRUE,1414
1784,TRUE,34746,FALSE,1534
2476,FALSE,50601,TRUE,5497
2189,TRUE,67355,FALSE,4577
1193,FALSE,8155,FALSE,6410
2524,FALSE,13825,FALSE,5755
528,TRUE,1696,FALSE,6498
1188,TRUE,5964,FALSE,2125
1820,TRUE,64512,FALSE,3263
1021,TRUE,137,FALSE,3954
1702,FALSE,30230,FALSE,6676
1025,TRUE,1374,FALSE,6319
2187,TRUE,239780,FALSE,6315
546,FALSE,1562926,TRUE,4087
894,TRUE,17010,FALSE,1803
1996,TRUE,3254,FALSE,529
1247,FALSE,807,FALSE,6796
1396,TRUE,113318,TRUE,6952
1615,FALSE,4013,FALSE,6748
1578,FALSE,7508,FALSE,3416
2138,FALSE,3010,FALSE,3155
1281,FALSE,279,FALSE,6149
2914,FALSE,343089,TRUE,5301
538,FALSE,1872,FALSE,3730
2674,TRUE,8776,FALSE,2766
801,FALSE,1944,FALSE,4068
475,TRUE,6191,FALSE,2590
1671,FALSE,5302,FALSE,4251
1032,TRUE,1273,FALSE,4546
1285,TRUE,4273,FALSE,1877
727,TRUE,28713,FALSE,5671
1066,TRUE,2132,FALSE,2260
1201,FALSE,261,FALSE,6502
1968,FALSE,4018,FALSE,6722
2019,TRUE,18285,TRUE,144
1779,FALSE,962,FALSE,3510
1769,TRUE,368500,TRUE,6962
1871,FALSE,78,FALSE,6548
1925,FALSE,992,FALSE,5303
3307,FALSE,3399,FALSE,3911
2046,TRUE,1204,FALSE,3200
1074,TRUE,32457,FALSE,65
1514,FALSE,4966,FALSE,6008
1135,FALSE,553,FALSE,6084
505,TRUE,2465,FALSE,7075
296,FALSE,968,FALSE,2812
2466,TRUE,10516,FALSE,721
2006,FALSE,3384,FALSE,3980
1826,TRUE,36650,FALSE,2157
2573,FALSE,463721,TRUE,502
1547,FALSE,2794,FALSE,1090
740,TRUE,6010,FALSE,3052
741,TRUE,36307,FALSE,3156
3490,TRUE,8601,FALSE,6141
490,FALSE,12507,FALSE,1011
1752,FALSE,1801,FALSE,550
1453,FALSE,2675,FALSE,3817
1922,TRUE,52972,FALSE,1392
2202,FALSE,23098,FALSE,6429
1730,TRUE,3581,FALSE,2542
1115,TRUE,2951,FALSE,3549
1333,TRUE,4441,FALSE,1246
790,TRUE,6185,FALSE,5667
1584,TRUE,3826,FALSE,3944
1066,FALSE,508,FALSE,7010
1332,FALSE,33096,FALSE,3321
1990,FALSE,10386,FALSE,4176
1061,TRUE,1489,FALSE,1633
582,TRUE,6960,FALSE,405
1337,TRUE,2557,FALSE,41
1163,TRUE,744,FALSE,2037
1487,TRUE,28949,FALSE,6851
829,FALSE,29484,FALSE,4718
1219,FALSE,17287,FALSE,685
930,TRUE,392,FALSE,2657
272,TRUE,5230,FALSE,6485
1506,FALSE,254,FALSE,960
1907,TRUE,6115,FALSE,5388
3073,FALSE,58772,FALSE,3658
1258,TRUE,5886,FALSE,755
1679,TRUE,18544,FALSE,879
2003,FALSE,98850,FALSE,3966
2751,TRUE,34048,FALSE,4025
1460,TRUE,8010,FALSE,2690
372,TRUE,4624,FALSE,1622
2485,FALSE,134950,TRUE,3904
431,TRUE,15135,FALSE,3057
1887,FALSE,4748,FALSE,3898
1896,TRUE,2635,FALSE,5787
1079,TRUE,1340083,TRUE,3131
1672,TRUE,17206,FALSE,231
2221,FALSE,1753,FALSE,3949
1892,TRUE,8177,FALSE,5037
997,TRUE,10319,FALSE,1160
2239,FALSE,5247,FALSE,6824
3172,TRUE,17501,FALSE,3917
1646,TRUE,10329,FALSE,4600
1332,FALSE,44,FALSE,2976
1947,TRUE,2338,FALSE,2349
230,TRUE,7187,FALSE,1663
1607,TRUE,1428,FALSE,6181
1626,FALSE,172,FALSE,1154
1611,FALSE,5779,FALSE,3789
2384,TRUE,2809,FALSE,309
1509,FALSE,4717,FALSE,4931
2054,TRUE,8613,FALSE,2914
1747,TRUE,59577,FALSE,5254
307,TRUE,3965,FALSE,3244
2050,FALSE,2591,FALSE,5715
1837,TRUE,10286,FALSE,2315
1014,FALSE,24189,FALSE,7068
1996,FALSE,10912,FALSE,6152
420,TRUE,13006,FALSE,2189
1130,FALSE,472,FALSE,4876
1145,FALSE,3239,FALSE,6896
2255,TRUE,155602,TRUE,3524
266,FALSE,6862,FALSE,4622
759,FALSE,7527,FALSE,1801
2251,TRUE,49532,FALSE,5331
1658,TRUE,6411,FALSE,6204
1883,FALSE,770,FALSE,1242
1101,FALSE,6035,FALSE,6376
1870,TRUE,4752,FALSE,3992
834,FALSE,11651,FALSE,6688
2152,TRUE,62755,FALSE,1436
2813,FALSE,107914,FALSE,2729
714,TRUE,2039,FALSE,6763
1837,FALSE,37493,FALSE,4642
1626,TRUE,3104,FALSE,3040
1025,TRUE,11332,FALSE,2169
1433,TRUE,15803,FALSE,4729
1770,TRUE,583,FALSE,6582
1428,FALSE,16521,FALSE,6226
2109,FALSE,2169,FALSE,102
1529,TRUE,4864,FALSE,5384
1679,TRUE,636,FALSE,557
2016,FALSE,5168,FALSE,1616
664,TRUE,34909,TRUE,5836
913,TRUE,11522,FALSE,3736
961,FALSE,1378,FALSE,7064
852,TRUE,8815,FALSE,4782
2562,FALSE,46926,FALSE,5829
1839,TRUE,43985,FALSE,5722
1595,FALSE,2926,FALSE,5117
1760,TRUE,43509,FALSE,3875
547,TRUE,22072,FALSE,1632
1508,FALSE,181,FALSE,1625
662,FALSE,5530,FALSE,4754
1479,TRUE,3549,FALSE,1845
854,TRUE,28308,FALSE,3864
571,TRUE,16330,FALSE,988
2300,FALSE,153594,FALSE,2392
1095,FALSE,861,FALSE,2281
1865,TRUE,509,FALSE,4340
1606,TRUE,3828,FALSE,3427
2560,FALSE,26055,FALSE,5469
237,TRUE,5065,FALSE,4309
2047,TRUE,508109,TRUE,4943
1667,FALSE,31984,FALSE,4276
1979,FALSE,256407,TRUE,4709
517,TRUE,1728,FALSE,1813
2641,FALSE,41363,FALSE,2744
1740,FALSE,198427,TRUE,1727
1900,TRUE,210528,TRUE,7029
2607,FALSE,5319,FALSE,4375
1916,TRUE,28420,FALSE,490
3075,TRUE,1574449,TRUE,1169
2071,FALSE,6388,FALSE,1996
1841,TRUE,7649,FALSE,2368
2515,FALSE,843,FALSE,5368
